Gene Symbol,Gene Title,ID_REF,healthy_mean,adjacent_mean,tumor_mean,healthy_to_adjacent,adjacent_to_tumor,progression_strength
IL8,interleukin 8,11718841_s_at,3.774622,5.646451020408161,9.864659183673467,1.8718290204081613,4.218208163265306,6.090037183673467
CXCL1,"chemokine (C-X-C motif) ligand 1 (melanoma growth stimulating activity, alpha)",11719366_s_at,5.28075,6.649669387755103,9.749552040816324,1.3689193877551027,3.099882653061221,4.468802040816324
SPP1,secreted phosphoprotein 1,11746506_a_at,2.4699300000000006,4.14055,6.840701020408164,1.6706199999999995,2.700151020408164,4.370771020408164
THBS2,thrombospondin 2,11742711_at,2.5512379999999992,4.9561755102040825,6.780512244897956,2.4049375102040833,1.8243367346938735,4.229274244897956
PHLDA1,"pleckstrin homology-like domain, family A, member 1",11721305_a_at,4.354818,5.369066326530613,8.50889285714286,1.0142483265306135,3.139826530612246,4.154074857142859
COL1A1,"collagen, type I, alpha 1",11715350_a_at,4.463705999999998,6.0925193877551,8.519265306122449,1.6288133877551019,2.4267459183673488,4.055559306122451
COL12A1,"collagen, type XII, alpha 1",11757018_a_at,5.694566,7.803164285714286,9.579677551020408,2.1085982857142858,1.7765132653061224,3.885111551020408
APCDD1,adenomatosis polyposis coli down-regulated 1,11757736_s_at,4.352846,6.109642857142862,8.04293469387755,1.7567968571428612,1.9332918367346883,3.6900886938775495
COL8A1,"collagen, type VIII, alpha 1",11728809_a_at,3.202264,5.190179591836735,6.813180612244897,1.9879155918367348,1.6230010204081617,3.6109166122448966
TIMP1,TIMP metallopeptidase inhibitor 1,11715359_a_at,6.235949999999999,7.588387755102042,9.75585612244898,1.3524377551020432,2.167468367346938,3.5199061224489814
CXCL2,chemokine (C-X-C motif) ligand 2,11744128_x_at,4.505666,5.589106122448983,7.971248979591836,1.083440122448983,2.3821428571428536,3.4655829795918365
COL1A2,"collagen, type I, alpha 2",11715353_s_at,7.6984460000000015,9.010764285714286,11.133733673469386,1.3123182857142845,2.1229693877551004,3.435287673469385
